x,y,date,temp_avg,temp_min,temp_max,prec,wind_speed_avg,wind_speed_max,wind_dir_avg,rel_humid_avg,rel_humid_max,rel_humid_min,global_rad,vapour_press,snow_depth,pot_evap,temp_sum5,site
3294500,6831500,2016-07-03,15.5,10.9,23.1,8,3,4.9,233,78,96,56,18997,13.5,0,,0, mouhijarvi
3294500,6831500,2016-07-04,14.2,9.6,17.6,4.4,2.3,3.8,243,77,89,62,23054,12.2,0,,0, mouhijarvi
3294500,6831500,2016-07-05,14.2,8.6,17.2,13.7,4.5,6.2,286,76,93,62,18014,12.2,0,,0, mouhijarvi
3294500,6831500,2016-07-06,13.9,8.2,16.1,0,5,6.6,290,72,88,63,18011,11.3,0,,0, mouhijarvi
3294500,6831500,2016-07-07,12.4,11.4,14.6,1.6,4.7,5.6,296,87,96,72,9691,12.4,0,,0, mouhijarvi
3294500,6831500,2016-07-08,12.8,10.9,14.6,2.2,3.6,5,276,87,93,81,10336,12.7,0,,0, mouhijarvi
3294500,6831500,2016-07-09,15.2,5.7,20.7,0,2.8,4.2,258,67,92,39,23317,10.9,0,,0, mouhijarvi
3294500,6831500,2016-07-10,15.4,2.5,21.5,1.2,2.6,4.2,212,72,93,55,19462,12.4,0,,0, mouhijarvi
3294500,6831500,2016-07-11,15.5,3.6,20.8,0.6,3,4.5,154,76,96,58,19098,13.3,0,,0, mouhijarvi
3294500,6831500,2016-07-12,16.7,14.2,19.8,12.5,3.6,5.8,206,85,98,68,16175,15.9,0,,0, mouhijarvi
3294500,6831500,2016-07-13,16.8,13.0,20,1,3.1,4.5,209,86,95,72,14018,16.3,0,,0, mouhijarvi
3294500,6831500,2016-07-14,16.7,13.3,20.5,2.5,2.6,4.3,222,84,98,65,14598,15.6,0,,0, mouhijarvi
3294500,6831500,2016-07-15,15,8.0,18.7,17.3,3,5.5,26,91,99,77,9572,15.4,0,,0, mouhijarvi
3294500,6831500,2016-07-16,16.9,12.2,21.8,5.7,5.2,6.6,244,78,97,55,21053,14.8,0,,0, mouhijarvi
3294500,6831500,2016-07-17,16.9,11.9,20.4,0.4,4.7,6.9,193,74,92,50,19793,14,0,,0, mouhijarvi
3294500,6831500,2016-07-18,15.9,5.6,21.1,0.1,2.4,4.5,271,72,97,50,21820,12.5,0,,0, mouhijarvi
3294500,6831500,2016-07-19,15.9,5.0,20.7,0,3.4,5.1,329,63,92,41,22705,10.8,0,,0, mouhijarvi
3294500,6831500,2016-07-20,16.5,2.3,22.2,0,3.9,5.1,357,59,87,39,30636,10.6,0,,0, mouhijarvi
3294500,6831500,2016-07-21,17.4,7.1,22.2,0,3.7,5.3,22,69,84,53,20066,13.4,0,,0, mouhijarvi
3294500,6831500,2016-07-22,17,14.3,19.9,0,2,2.8,53,85,90,77,9302,16.4,0,,0, mouhijarvi
3294500,6831500,2016-07-23,18.9,15.0,21.9,0,1.7,2.6,316,84,92,73,11020,18.2,0,,0, mouhijarvi
3294500,6831500,2016-07-24,19.8,15.5,23.9,0,1.6,2.8,275,83,94,69,15365,18.8,0,,0, mouhijarvi
3294500,6831500,2016-07-25,20.6,9.8,26.5,0,2,3,239,72,95,49,21456,16.8,0,,0, mouhijarvi
3294500,6831500,2016-07-26,21.3,9.6,27.2,0,2.3,3.2,205,70,94,51,20459,17.4,0,,0, mouhijarvi
3294500,6831500,2016-07-27,19.7,9.2,24.4,0,3.2,5.4,222,70,93,45,25812,15.3,0,,0, mouhijarvi
3294500,6831500,2016-07-28,17.7,5.3,22.3,0,2.6,3.4,193,77,95,54,21895,15.3,0,,0, mouhijarvi
3294500,6831500,2016-07-29,18.8,7.5,24.3,0,2.3,3.3,215,72,94,47,26194,15.2,0,,0, mouhijarvi
3294500,6831500,2016-07-30,18.1,6.9,24.6,0,2.1,5,160,76,93,51,17795,15.8,0,,0, mouhijarvi
3294500,6831500,2016-07-31,17.3,7.4,21.4,3.7,3.1,4.4,194,80,99,61,16333,15.5,0,,0, mouhijarvi
3294500,6831500,2016-08-01,16.6,4.6,20.6,7.5,3.5,5,183,77,94,50,23983,14.3,0,,0, mouhijarvi
3294500,6831500,2016-08-02,15.1,5.8,19.7,5.3,3.9,5.8,187,81,95,60,16607,13.7,0,,0, mouhijarvi
3294500,6831500,2016-08-03,15.9,4.1,20.6,3.8,3.7,5.2,184,74,96,49,18209,12.9,0,,0, mouhijarvi
3294500,6831500,2016-08-04,15,4.5,18.3,15,4.6,6.3,157,90,96,79,6725,15.4,0,,0, mouhijarvi
3294500,6831500,2016-08-05,17,12.4,21.9,11,3,4.2,199,86,99,71,11207,16.4,0,,0, mouhijarvi
3294500,6831500,2016-08-06,17.2,9.4,21.8,6.1,2.2,3.8,197,85,99,70,15714,16.2,0,,0, mouhijarvi
3294500,6831500,2016-08-07,17.1,9.4,22.4,0.1,2.2,3.5,219,82,98,59,18378,15.6,0,,0, mouhijarvi
3294500,6831500,2016-08-08,17.1,7.3,21.7,10.3,5.3,8.3,187,79,99,56,20275,15.2,0,,0, mouhijarvi
