x,y,date,temp_avg,temp_min,temp_max,prec,wind_speed_avg,wind_speed_max,wind_dir_avg,rel_humid_avg,rel_humid_max,rel_humid_min,global_rad,vapour_press,snow_depth,pot_evap,temp_sum5,site
3378500,6768500,2016-07-03,16.7,14.9,22.5,5.6,3.2,5.6,282,90,97,75,15174,16.7,0,,0, paroni
3378500,6768500,2016-07-04,12.5,11.1,16,1.2,2.8,4.5,349,90,98,82,13666,12.9,0,,0, paroni
3378500,6768500,2016-07-05,13.4,10.6,16,2.2,5.3,6.6,286,86,97,72,8712,13,0,,0, paroni
3378500,6768500,2016-07-06,13.9,11.9,17.4,0.6,4.6,6,290,78,91,63,16675,12.3,0,,0, paroni
3378500,6768500,2016-07-07,12.4,11.6,13.9,4.8,4.4,4.8,301,94,99,82,4608,13.4,0,,0, paroni
3378500,6768500,2016-07-08,13.1,11.7,15.4,1.2,3.7,4.2,287,90,97,79,6718,13.5,0,,0, paroni
3378500,6768500,2016-07-09,15.8,10.9,20.8,0,3.1,4.3,271,71,96,49,21848,12.4,0,,0, paroni
3378500,6768500,2016-07-10,15.4,8,22.2,1.7,2.4,3.6,224,82,100,53,19886,13.8,0,,0, paroni
3378500,6768500,2016-07-11,15.9,9.4,20.8,3.3,2.5,3.8,179,82,99,64,19825,14.7,0,,0, paroni
3378500,6768500,2016-07-12,17.6,14.6,20.8,1.1,2.9,4.3,217,83,98,65,17838,16.4,0,,0, paroni
3378500,6768500,2016-07-13,17.7,14.5,21.9,0.1,2.7,3.8,225,79,94,64,14076,15.7,0,,0, paroni
3378500,6768500,2016-07-14,17.4,12.4,22.8,0,2.3,3.3,218,74,98,51,20675,14.2,0,,0, paroni
3378500,6768500,2016-07-15,14.2,9.9,19.4,15.2,2.7,3.6,55,95,100,78,8849,15.5,0,,0, paroni
3378500,6768500,2016-07-16,17.2,13.7,22.6,0.9,4.1,5.2,250,79,99,57,19591,15.3,0,,0, paroni
3378500,6768500,2016-07-17,16,14.4,19.8,0.6,3.6,4.7,195,83,94,59,13579,14.9,0,,0, paroni
3378500,6768500,2016-07-18,15.9,10.5,21.7,0,2.5,3.6,264,76,100,51,19170,13.1,0,,0, paroni
3378500,6768500,2016-07-19,15.9,9.4,21.4,0,3.7,4.5,337,68,98,42,22129,11.6,0,,0, paroni
3378500,6768500,2016-07-20,16.8,8.6,22.1,0,4,5.1,359,62,86,43,32177,11.7,0,,0, paroni
3378500,6768500,2016-07-21,17.1,14.7,19.7,0,3.3,4.1,34,77,88,70,10706,15,0,,0, paroni
3378500,6768500,2016-07-22,16.7,15.4,17.7,0.2,2.3,2.8,26,89,93,85,10490,16.7,0,,0, paroni
3378500,6768500,2016-07-23,18.3,16.2,20.4,0.1,1.7,2.7,343,91,97,83,11383,19.1,0,,0, paroni
3378500,6768500,2016-07-24,20.4,16.3,24.5,0.2,1.5,2.3,286,83,98,64,14558,19.5,0,,0, paroni
3378500,6768500,2016-07-25,20.4,14.5,26.5,0,1.5,2.5,272,80,99,55,18500,18.8,0,,0, paroni
3378500,6768500,2016-07-26,21.2,14,27.4,0.3,1.9,2.6,171,74,100,49,20606,18.1,0,,0, paroni
3378500,6768500,2016-07-27,19.8,14.7,25.9,0,2.3,3.3,234,71,97,45,23278,16,0,,0, paroni
3378500,6768500,2016-07-28,17.1,10.3,22.6,3.7,1.8,2.3,175,79,98,55,21895,15.1,0,,0, paroni
3378500,6768500,2016-07-29,19,14.6,24.2,0,1.7,2.3,297,78,98,56,29048,16.4,0,,0, paroni
3378500,6768500,2016-07-30,18.2,12.1,24.4,2.3,1.8,2.7,214,82,98,60,20005,17.1,0,,0, paroni
3378500,6768500,2016-07-31,16.7,13.7,20.8,3.1,2.2,3,210,91,100,80,14868,17.1,0,,0, paroni
3378500,6768500,2016-08-01,15.6,11.3,20.8,0.9,2.6,4.5,195,86,99,63,13892,15.1,0,,0, paroni
3378500,6768500,2016-08-02,15.8,11.7,20.2,0.7,2.8,3.8,200,81,99,59,16196,13.9,0,,0, paroni
3378500,6768500,2016-08-03,15.3,9.5,21,0.7,2.7,3.6,191,77,100,53,17158,13,0,,0, paroni
3378500,6768500,2016-08-04,14.4,9.5,18.4,4.3,3.7,5.8,163,92,97,82,9108,15.6,0,,0, paroni
3378500,6768500,2016-08-05,18.6,13.7,22.9,1.3,2.3,2.9,206,82,97,61,14306,17.2,0,,0, paroni
3378500,6768500,2016-08-06,17.6,14.1,22.5,1,2,3.3,194,86,98,64,19159,17,0,,0, paroni
3378500,6768500,2016-08-07,16.9,12.8,22.1,0.4,1.7,2.8,217,85,100,57,16502,15.9,0,,0, paroni
3378500,6768500,2016-08-08,17.1,11.6,21.9,1.7,3.7,5,205,82,100,63,17183,15.7,0,,0, paroni
3378500,6768500,2016-08-09,15.8,14.4,18.7,0.1,4.6,6.1,210,71,95,51,14119,12.4,0,,0, paroni
3378500,6768500,2016-08-10,14.5,10.6,18.4,0.8,3.6,4.9,195,72,91,50,15376,11.6,0,,0, paroni
3378500,6768500,2016-08-11,13.2,11.2,17.6,1,3.5,5.4,194,82,98,61,15952,12.1,0,,0, paroni
3378500,6768500,2016-08-12,10.5,5.7,16.3,0.6,3.1,4.7,218,79,97,58,16664,10.1,0,,0, paroni
3378500,6768500,2016-08-13,13.6,8.8,16.7,2.2,3.8,5.8,184,94,99,89,4216,14.9,0,,0, paroni
3378500,6768500,2016-08-14,14.6,12.2,19,6.6,2,3.4,183,93,98,75,12110,15.2,0,,0, paroni
3378500,6768500,2016-08-15,12.8,10.4,16.6,0.8,2.4,4.7,285,88,98,73,18792,13.1,0,,0, paroni
3378500,6768500,2016-08-16,13.3,12.2,14.9,7.3,5.7,6.5,343,97,98,94,4014,14.8,0,,0, paroni
3378500,6768500,2016-08-17,14.7,11.9,18.9,1.2,4.3,5.3,50,85,99,63,13410,14,0,,0, paroni
3378500,6768500,2016-08-18,15.4,12.7,19.2,6.4,3.8,5.3,79,86,98,67,8510,14.8,0,,0, paroni
3378500,6768500,2016-08-19,16.8,13.6,21.2,3.7,4.1,6.7,133,82,99,52,14461,15.3,0,,0, paroni
3378500,6768500,2016-08-20,16.6,12.5,22.1,0.5,2.3,3.1,197,84,99,57,14789,15.3,0,,0, paroni
3378500,6768500,2016-08-21,16.9,8.8,23.3,0,2.6,3.7,136,81,100,63,15786,15.7,0,,0, paroni
3378500,6768500,2016-08-22,17,15.6,19.8,8.4,2.8,3.7,181,92,99,82,7909,17.7,0,,0, paroni
3378500,6768500,2016-08-23,15.1,13,20.5,2.3,2.6,3.3,242,89,100,68,19289,15.1,0,,0, paroni
3378500,6768500,2016-08-24,14.2,10.8,20.1,0.1,2.3,3.7,294,89,100,66,12121,14.4,0,,0, paroni
