date;y;x;temp_avg;temp_max;temp_min;prec;global_rad;vapour_press;site;wind_speed_avg;snow_depth;pot_evap
2006-01-01;6855000;3355000;-1.6;0.3;-3.0;1.8;248;5.17; sinilammenneva;NaN;NaN;NaN
2006-01-02;6855000;3355000;-0.8;0.0;-2.3;2.9;216;5.48; sinilammenneva;NaN;NaN;NaN
2006-01-03;6855000;3355000;-2.0;-0.9;-2.3;0.0;194;5.0; sinilammenneva;NaN;NaN;NaN
2006-01-04;6855000;3355000;-3.0;-1.9;-3.5;0.1;173;4.68; sinilammenneva;NaN;NaN;NaN
2006-01-05;6855000;3355000;-4.6;-2.5;-7.4;0.1;292;4.22; sinilammenneva;NaN;NaN;NaN
2006-01-06;6855000;3355000;-1.7;-1.4;-2.3;0.0;194;5.2; sinilammenneva;NaN;NaN;NaN
2006-01-07;6855000;3355000;-3.2;-1.2;-3.9;0.0;734;4.79; sinilammenneva;NaN;NaN;NaN
2006-01-08;6855000;3355000;-5.7;-2.9;-8.0;0.1;1091;3.86; sinilammenneva;NaN;NaN;NaN
2006-01-09;6855000;3355000;-3.0;-1.9;-4.7;0.0;248;4.76; sinilammenneva;NaN;NaN;NaN
2006-01-10;6855000;3355000;-2.9;0.6;-7.2;0.7;842;4.61; sinilammenneva;NaN;NaN;NaN
2006-01-11;6855000;3355000;0.9;1.4;-0.4;4.0;108;6.39; sinilammenneva;NaN;NaN;NaN
2006-01-12;6855000;3355000;1.1;2.2;0.5;0.2;1080;5.87; sinilammenneva;NaN;NaN;NaN
2006-01-13;6855000;3355000;-0.3;1.1;-2.5;0.0;184;5.72; sinilammenneva;NaN;NaN;NaN
2006-01-14;6855000;3355000;-1.3;0.5;-2.4;0.0;918;5.22; sinilammenneva;NaN;NaN;NaN
2006-01-15;6855000;3355000;-0.8;-0.1;-1.6;0.3;346;5.38; sinilammenneva;NaN;NaN;NaN
2006-01-16;6855000;3355000;-2.1;-0.9;-2.6;0.6;324;5.06; sinilammenneva;NaN;NaN;NaN
2006-01-17;6855000;3355000;-8.0;-2.2;-13.1;0.1;454;2.94; sinilammenneva;NaN;NaN;NaN
2006-01-18;6855000;3355000;-18.3;-12.8;-20.8;0.0;1264;1.0; sinilammenneva;NaN;NaN;NaN
2006-01-19;6855000;3355000;-24.6;-20.5;-26.2;0.0;1998;0.66; sinilammenneva;NaN;NaN;NaN
2006-01-20;6855000;3355000;-25.7;-20.8;-29.2;0.0;1922;0.58; sinilammenneva;NaN;NaN;NaN
2006-01-21;6855000;3355000;-23.5;-21.0;-26.6;0.0;2149;0.72; sinilammenneva;NaN;NaN;NaN
2006-01-22;6855000;3355000;-24.1;-20.3;-28.8;0.0;2182;0.73; sinilammenneva;NaN;NaN;NaN
2006-01-23;6855000;3355000;-9.4;-4.3;-22.0;1.0;410;2.96; sinilammenneva;NaN;NaN;NaN
2006-01-24;6855000;3355000;-2.8;-2.4;-4.2;4.8;378;4.79; sinilammenneva;NaN;NaN;NaN
2006-01-25;6855000;3355000;-1.2;0.2;-2.5;2.9;540;5.4; sinilammenneva;NaN;NaN;NaN
2006-01-26;6855000;3355000;-3.5;-2.2;-4.4;0.2;875;4.47; sinilammenneva;NaN;NaN;NaN
2006-01-27;6855000;3355000;-1.4;0.8;-2.8;0.0;1706;5.06; sinilammenneva;NaN;NaN;NaN
2006-01-28;6855000;3355000;-4.1;-1.7;-7.1;0.0;1663;4.31; sinilammenneva;NaN;NaN;NaN
2006-01-29;6855000;3355000;0.1;1.6;-2.7;0.6;2160;5.51; sinilammenneva;NaN;NaN;NaN
2006-01-30;6855000;3355000;-0.5;2.7;-2.7;0.0;2106;5.01; sinilammenneva;NaN;NaN;NaN
2006-01-31;6855000;3355000;-7.1;-2.8;-11.7;0.7;1339;3.24; sinilammenneva;NaN;NaN;NaN
2006-02-01;6855000;3355000;-3.7;-1.9;-5.2;1.1;659;4.53; sinilammenneva;NaN;NaN;NaN
2006-02-02;6855000;3355000;-8.2;-2.4;-9.6;6.0;950;3.04; sinilammenneva;NaN;NaN;NaN
2006-02-03;6855000;3355000;-17.0;-9.6;-21.2;0.0;1944;1.44; sinilammenneva;NaN;NaN;NaN
2006-02-04;6855000;3355000;-22.7;-18.6;-24.7;0.0;2948;0.78; sinilammenneva;NaN;NaN;NaN
2006-02-05;6855000;3355000;-22.5;-16.6;-27.2;0.0;4428;0.86; sinilammenneva;NaN;NaN;NaN
2006-02-06;6855000;3355000;-21.1;-14.3;-25.4;0.2;3218;0.93; sinilammenneva;NaN;NaN;NaN
2006-02-07;6855000;3355000;-18.3;-14.7;-22.0;0.1;3143;1.2; sinilammenneva;NaN;NaN;NaN
2006-02-08;6855000;3355000;-14.4;-12.1;-18.4;0.3;2603;1.69; sinilammenneva;NaN;NaN;NaN
