OmaTunniste;OmaIta;OmaPohjoinen;Kunta;siteid;aika;vuosi;kk;paiva;longitude;latitude;t_mean;t_max;t_min;rainfall;radiation;hpa;lamposumma_v;rainfall_v
1;3065793;6713718;Amaa;246;19810101;1981;1;1;3075000;6715000;1.6;3.1;0.2;1.0;833;6.2;0.0;1.0
1;3065793;6713718;Amaa;246;19810102;1981;1;2;3075000;6715000;1.7;1.6;2.2;0.0;748;5.61;0.0;1.0
1;3065793;6713718;Amaa;246;19810103;1981;1;3;3075000;6715000;-1.8;-1.3;-2.4;0.0;824;4.52;0.0;1.0
1;3065793;6713718;Amaa;246;19810104;1981;1;4;3075000;6715000;-3.4;-1.4;-3.9;0.0;745;3.82;0.0;1.0
1;3065793;6713718;Amaa;246;19810105;1981;1;5;3075000;6715000;-4.5;-2.9;-3.4;0.0;740;3.38;0.0;1.0
1;3065793;6713718;Amaa;246;19810106;1981;1;6;3075000;6715000;-7.2;-5.6;-9.9;1.0;1171;2.49;0.0;2.0
1;3065793;6713718;Amaa;246;19810107;1981;1;7;3075000;6715000;-3.6;-1.9;-9.3;1.0;949;3.63;0.0;3.0
1;3065793;6713718;Amaa;246;19810108;1981;1;8;3075000;6715000;0.0;-0.6;-0.7;0.0;691;4.76;0.0;3.0
1;3065793;6713718;Amaa;246;19810109;1981;1;9;3075000;6715000;1.6;3.2;-0.1;5.0;718;6.99;0.0;8.0
1;3065793;6713718;Amaa;246;19810110;1981;1;10;3075000;6715000;1.1;2.1;-0.7;0.0;1578;5.21;0.0;8.0
1;3065793;6713718;Amaa;246;19810111;1981;1;11;3075000;6715000;2.5;1.9;2.5;0.0;1160;5.18;0.0;8.0
1;3065793;6713718;Amaa;246;19810112;1981;1;12;3075000;6715000;1.2;2.1;-0.9;0.0;780;5.78;0.0;8.0
1;3065793;6713718;Amaa;246;19810113;1981;1;13;3075000;6715000;-0.2;1.3;-1.9;0.0;876;5.4;0.0;8.0
1;3065793;6713718;Amaa;246;19810114;1981;1;14;3075000;6715000;-0.4;1.8;-2.9;3.0;879;5.15;0.0;11.0
1;3065793;6713718;Amaa;246;19810115;1981;1;15;3075000;6715000;0.6;2.0;-0.4;3.0;935;6.07;0.0;14.0
1;3065793;6713718;Amaa;246;19810116;1981;1;16;3075000;6715000;-1.3;0.8;-4.4;0.0;1355;6.18;0.0;14.0
1;3065793;6713718;Amaa;246;19810117;1981;1;17;3075000;6715000;-2.5;-0.2;-5.0;0.0;1418;5.08;0.0;14.0
1;3065793;6713718;Amaa;246;19810118;1981;1;18;3075000;6715000;-3.9;-1.5;-4.6;0.0;932;3.66;0.0;14.0
1;3065793;6713718;Amaa;246;19810119;1981;1;19;3075000;6715000;-4.0;-2.8;-5.8;2.0;983;3.73;0.0;16.0
1;3065793;6713718;Amaa;246;19810120;1981;1;20;3075000;6715000;-3.6;-1.9;-5.5;0.0;1550;4.15;0.0;16.0
1;3065793;6713718;Amaa;246;19810121;1981;1;21;3075000;6715000;-2.0;-1.1;-6.4;1.0;1667;3.86;0.0;17.0
1;3065793;6713718;Amaa;246;19810122;1981;1;22;3075000;6715000;-0.6;0.0;-1.0;1.0;1050;5.64;0.0;18.0
1;3065793;6713718;Amaa;246;19810123;1981;1;23;3075000;6715000;-0.7;0.9;-5.2;0.0;1461;5.01;0.0;18.0
1;3065793;6713718;Amaa;246;19810124;1981;1;24;3075000;6715000;1.4;3.0;-1.0;0.0;1065;6.37;0.0;18.0
1;3065793;6713718;Amaa;246;19810125;1981;1;25;3075000;6715000;1.1;2.9;-0.1;0.0;1872;5.27;0.0;18.0
1;3065793;6713718;Amaa;246;19810126;1981;1;26;3075000;6715000;1.3;1.1;1.1;0.0;2183;4.43;0.0;18.0
1;3065793;6713718;Amaa;246;19810127;1981;1;27;3075000;6715000;0.4;0.4;1.0;0.0;2109;5.07;0.0;18.0
1;3065793;6713718;Amaa;246;19810128;1981;1;28;3075000;6715000;0.4;2.1;-0.4;1.0;1982;5.97;0.0;19.0
1;3065793;6713718;Amaa;246;19810129;1981;1;29;3075000;6715000;1.2;2.5;-0.7;0.0;2303;6.07;0.0;19.0
1;3065793;6713718;Amaa;246;19810130;1981;1;30;3075000;6715000;2.8;5.0;1.1;1.0;2907;5.82;0.0;20.0
1;3065793;6713718;Amaa;246;19810131;1981;1;31;3075000;6715000;3.4;5.1;0.1;0.0;2280;6.32;0.0;20.0
1;3065793;6713718;Amaa;246;19810201;1981;2;1;3075000;6715000;2.6;6.3;0.3;0.0;1350;6.15;0.0;20.0
1;3065793;6713718;Amaa;246;19810202;1981;2;2;3075000;6715000;2.9;4.6;1.7;5.0;1452;6.5;0.0;25.0
1;3065793;6713718;Amaa;246;19810203;1981;2;3;3075000;6715000;0.8;3.8;-0.8;0.0;1448;5.91;0.0;25.0
